x,kde,ekf_gaussian
-21.310243021154236,4.4900257740311766e-06,0.0021066588504880519
-21.285372794682953,4.7339479337581587e-06,0.0021880201703951482
-21.26050256821167,4.9896602898732504e-06,0.0022721645917528795
-21.235632341740388,5.2576459677717028e-06,0.0023591720356987817
-21.210762115269105,5.5384030482785055e-06,0.0024491241069024808
-21.185891888797819,5.832444772158366e-06,0.0025421041054617911
-21.161021662326537,6.1402997328047429e-06,0.0026381970378882109
-21.136151435855254,6.4625120561301594e-06,0.0027374896271366339
-21.111281209383971,6.7996415666536751e-06,0.0028400703216330445
-21.086410982912689,7.152263938758554e-06,0.002946029303253838
-21.061540756441403,7.5209708320695869e-06,0.0030554584942095067
-21.03667052997012,7.9063700098779244e-06,0.0031684515627849069
-21.011800303498838,8.3090854395221357e-06,0.0032851039278881887
-20.986930077027552,8.7297573736139745e-06,0.0034055127623593816
-20.962059850556269,9.1690424109820459e-06,0.0035297769949897682
-20.937189624084986,9.6276135361914556e-06,0.0036579973112027537
-20.912319397613704,1.0106160136483327e-05,0.003790276152346251
-20.887449171142421,1.0605387994968683e-05,0.003926717713546763
-20.862578944671135,1.1126019258901861e-05,0.0040674279400750267
-20.837708718199853,1.1668792381852148e-05,0.0042125145221726988
-20.81283849172857,1.2234462038590098e-05,0.004362086888290059
-20.787968265257287,1.2823799011501367e-05,0.0045162561966838625
-20.763098038786005,1.3437590047345599e-05,0.0046751353253253088
-20.738227812314719,1.4076637683180452e-05,0.0048388388600677373
-20.713357585843436,1.4741760040279367e-05,0.0050074830810238544
-20.688487359372154,1.5433790584883745e-05,0.0051811859471030258
-20.663617132900871,1.6153577854641673e-05,0.0053600670786586018
-20.638746906429589,1.6901985149606111e-05,0.0055442477381965677
-20.613876679958302,1.7679890186684933e-05,0.0057338508090967405
-20.58900645348702,1.8488184716459755e-05,0.0059290007722982638
-20.564136227015737,1.9327774101321858e-05,0.0061298236809023627
-20.539266000544455,2.0199576853901524e-05,0.00633644713264512
-20.514395774073172,2.1104524134808001e-05,0.0065490002401946707
-20.489525547601886,2.2043559208735279e-05,0.0067676135992276957
-20.464655321130603,2.3017636858033344e-05,0.0069924192542409119
-20.439785094659321,2.4027722752896166e-05,0.0072235506620551299
-20.414914868188035,2.5074792777366179e-05,0.007461142652969311
-20.390044641716752,2.6159832310415587e-05,0.0077053313895243452
-20.36517441524547,2.7283835461427243e-05,0.0079562543228376432
-20.340304188774187,2.8447804259459056e-05,0.0082140501464699981
-20.315433962302905,2.9652747795751743e-05,0.0084788587477889841
-20.290563735831618,3.0899681319010666e-05,0.0087508211567940523
-20.265693509360336,3.2189625283072268e-05,0.0090300794923701775
-20.240823282889053,3.3523604346651503e-05,0.0093167769059395479
-20.215953056417771,3.4902646324948848e-05,0.0096110575224813387
-20.191082829946488,3.6327781092992816e-05,0.0099130663788929846
-20.166212603475202,3.7800039440686804e-05,0.010222949359667671
-20.141342377003919,3.9320451879628384e-05,0.01054085312986516
-20.116472150532637,4.089004740187827e-05,0.010866925065355878
-20.091601924061354,4.250985219095508e-05,0.01120131318031958
-20.066731697590072,4.4180888285453e-05,0.011544166051983462
-20.041861471118786,4.59041721957882e-05,0.011895632742586757
-20.016991244647503,4.7680713474700142e-05,0.012255862718561203
